12:52:59.319 [main] INFO  com.ruider.Application - Starting Application on admindeMacBook-Pro.local with PID 11271 (/Users/mahede/ruider/MyProject/RuiDerWX/target/classes started by mahede in /Users/mahede/ruider/MyProject/RuiDerWX)
13:40:11.746 [http-nio-8080-exec-3] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:41:42.431 [http-nio-8080-exec-5] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:41:42.433 [http-nio-8080-exec-5] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:41:42.435 [http-nio-8080-exec-5] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
13:41:43.957 [http-nio-8080-exec-6] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:41:43.958 [http-nio-8080-exec-6] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表开始】 getNeedsByUserId start
13:41:43.961 [http-nio-8080-exec-6] INFO  c.r.c.NeedsManagementController - 【获取用户所有列表成功】 getNeedsByUserId success
13:42:17.330 [http-nio-8080-exec-7] INFO  com.ruider.filter.XssFilter - 【自定义过滤器】 doFilter
13:42:17.332 [http-nio-8080-exec-7] INFO  com.ruider.controller.UserController - addUserInfoIfNoSaved start
13:42:17.334 [http-nio-8080-exec-7] INFO  com.ruider.controller.UserController - 【用户信息已存在】addUserInfoIfNoSaved fail
